Medicine Name,Uses,Manufacturer
Protussa Cough Syrup,Treatment of Dry cough,Abbott
Primox 25mg Tablet, Depression Bed-wetting Neuropathic pain,Sun Pharmaceutical Industries Ltd
Prograf 1mg Hard Capsule, Prevention of organ rejection in transplant patients,Astellas Pharma Inc
Psorid 50 Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Biocon
Peptard-D Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Indchemie Health Specialities Pvt Ltd
Penegra 25 Tablet,Treatment of Erectile dysfunction,Zydus Cadila
Pregabid ME 75 Capsule,Treatment of Neuropathic pain,Intas Pharmaceuticals Ltd
Picon Cream, Atopic dermatitis,Biocon
Pepcia 20 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,FDC Ltd
Proxidom 500mg Tablet, Pain relief,Arinna Lifescience Pvt Ltd
Pixelub Multi Eye Drop,Treatment of Dry eyes,FDC Ltd
Pacimol Oral Suspension, Pain reliefTreatment of Fever,Ipca Laboratories Ltd
Pregabid NT 50mg/10mg Tablet,Treatment of Neuropathic pain,Intas Pharmaceuticals Ltd
Podowart S Paint, Warts,A. Menarini India Pvt Ltd
Periset MD Tablet,Treatment of NauseaTreatment of Vomiting,Ipca Laboratories Ltd
Periset Syrup,Treatment of Nausea Vomiting,Ipca Laboratories Ltd
Pentanerv 100 Tablet,Treatment of Neuropathic painTreatment of Epilepsy/Seizures,Alkem Laboratories Ltd
Pantop 20 Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Aristo Pharmaceuticals Pvt Ltd
Pantocid IV Injection,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Sun Pharmaceutical Industries Ltd
Preva Gold 20 Capsule, Heart attack,Intas Pharmaceuticals Ltd
Pari 10 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Ipca Laboratories Ltd
Prothiaden M  50 Tablet, Neuropathic pain,Abbott
Pregaba SR 75 Tablet,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Unichem Laboratories Ltd
PNV New Tablet, Motion sickness Vertigo,Yash Pharma Laboratories Pvt Ltd
Pasitrex Ointment, Psoriasis,Sun Pharmaceutical Industries Ltd
Piosys 15 Tablet,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Pansec Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Cipla Ltd
Phytoral Ointment, Fungal skin infections,Micro Labs Ltd
Paroxee CR 12.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Talent India 
Pilocar 2% Eye Drop,Treatment of Glaucoma,FDC Ltd
Pentavac PFS Vaccine,Prevention of DiphtheriaPrevention of TetanusPrevention of Pertussis Prevention of Hepatitis B infectionPrevention of Haemophilus influenzae Type b disease,Serum Institute Of India Ltd
Pivasta 2 Tablet, High cholesterol Prevention of heart attack and stroke,Zydus Cadila
Penegra Xpress 50mg Tablet,Treatment of Erectile dysfunction,Zydus Cadila
Provanol 20 Tablet,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Intas Pharmaceuticals Ltd
Pbren 50 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,La Renon Healthcare Pvt Ltd
Pregeb 75 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Torrent Pharmaceuticals Ltd
Pantin D Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Hetero Drugs Ltd
Pevesca Plus Capsule, Neuropathic pain,USV Ltd
Pregason-M Capsule,Treatment of Neuropathic pain,Unison Pharmaceuticals Pvt Ltd
Pinom 20 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Lupin Ltd
Pioride 2mg Tablet,Treatment of Constipation,Alembic Pharmaceuticals Ltd
Peg-NT Tablet,Treatment of Neuropathic pain,Ipca Laboratories Ltd
Powerflam 50mg Tablet MR, Pain relief,Alkem Laboratories Ltd
Pregalin 50 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Torrent Pharmaceuticals Ltd
Piclin Kid Oral Solution,Treatment of Constipation,A. Menarini India Pvt Ltd
Pentate 40 Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Morepen Laboratories Ltd
Pulmonext 5 Tablet, Pulmonary arterial hypertension (PAH),MSN Laboratories
Polynase D Eye Ointment,Treatment of Bacterial eye infections,Ajanta Pharma Ltd
Pramirol 0.25 Tablet, Parkinson's disease Restless leg syndrome,Intas Pharmaceuticals Ltd
Paracip Syrup, Pain reliefTreatment of Fever,Cipla Ltd
Phensedyl LR Oral Suspension,Treatment of Dry cough,Abbott
Preva-AS 150 Tablet, Prevention of heart attack and stroke,Intas Pharmaceuticals Ltd
Prusent 2mg Tablet,Treatment of Constipation,Lupin Ltd
Peroduo Gel, Acne,Ajanta Pharma Ltd
Piltop-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Psychotropics India Ltd
Polyclav-DS Dry Syrup,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Povidone Iodine Solution,Treatment and prevention of Wound infection,Wockhardt Ltd
Piclin Tablet,Treatment of Constipation,A. Menarini India Pvt Ltd
PPG 0.3 Tablet,Treatment of Type 2 diabetes mellitus,Abbott
Pirfenex 400mg Tablet,Treatment of Idiopathic pulmonary fibrosis,Cipla Ltd
Phexin 250mg Redisyp Banana,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Pantin 40mg Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Hetero Drugs Ltd
Phexin 250mg Redisyp Banana,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Pacimol MF 125 Oral Suspension, Pain reliefTreatment of Fever,Ipca Laboratories Ltd
Propysalic NF Ointment,Treatment of EczemaTreatment of Psoriasis,Hegde and Hegde Pharmaceutical LLP
Protochek DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Ipca Laboratories Ltd
Pegstim Injection,Prevention of Infections after chemotherapy,Zydus Cadila
Pecef 100 Powder For Oral Suspension,Treatment of Bacterial infections,Dr Reddy's Laboratories Ltd
Pioz 30 Tablet,Treatment of Type 2 diabetes mellitus,USV Ltd
Proliser Syrup Sugar Free,Treatment of Kidney stone,Group Pharmaceuticals Ltd
Phensedyl CR  Syrup, Cough with mucus,Abbott
Potrate 10 Tablet ER, Nutritional deficiencies,Intas Pharmaceuticals Ltd
Panderm NM Cream,Treatment of Skin infections,Macleods Pharmaceuticals Pvt Ltd
Pregamet SR Tablet,Treatment of Neuropathic pain,Abbott
Pentasa 2gm Prolonged Release Granules, Ulcerative colitis Crohn’s disease,Ferring Pharmaceuticals
Pepcia-L Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,FDC Ltd
Pramipex ER 0.375 Tablet, Parkinson's disease Restless leg syndrome,Sun Pharmaceutical Industries Ltd
P 500 Suspension, Pain reliefTreatment of Fever,Apex Laboratories Pvt Ltd
Pangraf 0.5 Capsule, Prevention of organ rejection in transplant patients,Panacea Biotec Ltd
Pioglit 15 Tablet,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Pelliwash Shampoo, Dandruff,La Pristine Bioceuticals Pvt Ltd
Prolomet XL 100 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Sun Pharmaceutical Industries Ltd
Parawel 325mg Tablet, Pain reliefTreatment of Fever,Med Manor Organics Pvt Ltd
Peroclin 5% Gel, Acne,Ajanta Pharma Ltd
P2i-D Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Lupin Ltd
PCM 650mg Tablet, Pain reliefTreatment of Fever,Intas Pharmaceuticals Ltd
Phoscut 800 Tablet, High phosphate levels in blood,Steadfast Medishield Pvt Ltd
Pulmoclear LS Syrup,Treatment of Cough with mucus,Fourrts India Laboratories Pvt Ltd
Protera Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Lupin Ltd
Paracip Infusion, Pain reliefTreatment of Fever,Cipla Ltd
PA 12 Tablet SR, Pain relief Fever,Lincoln Pharmaceuticals Ltd
Prulastin Tablet,Treatment of Allergic conditions,Alkem Laboratories Ltd
Pioride 1mg Tablet,Treatment of Constipation,Alembic Pharmaceuticals Ltd
Prostagard 4 Capsule,Treatment of Benign prostatic hyperplasia,Aristo Pharmaceuticals Pvt Ltd
Phexin BD 750mg Tablet,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Parasafe 650 Tablet, Pain reliefTreatment of Fever,Strassenburg Pharmaceuticals.Ltd
Phenosulf Eye Drop,Treatment of Bacterial eye infections,Syntho Pharmaceuticals Pvt Ltd
Panex-CR 12.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Micro Labs Ltd
Pinodin-TX Plus Tablet SR, Melasma Hyperpigmentation,Nexgen Rx Life Science Pvt Ltd
Propyzole NF Cream,Treatment of Fungal skin infections,Hegde and Hegde Pharmaceutical LLP
Pylokit-AC Kit,Treatment of Peptic ulcer disease,Cipla Ltd
Pregastar M 75 Capsule,Treatment of Neuropathic pain,Lupin Ltd
Progynova 1mg Tablet, Hormone replacement therapy,Bayer Zydus Pharma Pvt Ltd
P-Lone Eye Drop,Treatment of Redness and swelling in the eye,Syntho Pharmaceuticals Pvt Ltd
Pregalift NT Tablet,Treatment of Neuropathic pain,Linux Laboratories
Pantotab DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Micro Labs Ltd
Peritol 4mg Tablet,Treatment of Allergic conditions Appetite stimulant,Themis Medicare Ltd
Phytoral Tablet, Fungal infections,Micro Labs Ltd
Pbren-M 75 Capsule,Treatment of Neuropathic pain,La Renon Healthcare Pvt Ltd
Pazom 40mg Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Elder Pharmaceuticals Ltd
Periset Injection,Treatment of Nausea Vomiting,Ipca Laboratories Ltd
Pruwel 1 Tablet,Treatment of Constipation,Intas Pharmaceuticals Ltd
P 125 Drops, Pain reliefTreatment of Fever,Apex Laboratories Pvt Ltd
Pansped 40 Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Torrent Pharmaceuticals Ltd
Premarin 0.3mg Tablet, Hormone replacement therapyPrevention of Post menopausal osteoporosis,Pfizer Ltd
Pentab-D Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Alembic Pharmaceuticals Ltd
Pbren 75 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,La Renon Healthcare Pvt Ltd
Puradine OZ Ointment, Wound infection,Leeford Healthcare Ltd
Prazopill XL 5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failureTreatment of Benign prostatic hyperplasia,Intas Pharmaceuticals Ltd
Pregabel-M Capsule,Treatment of Neuropathic pain,Knoll Pharmaceuticals Ltd
Provanol 10 Tablet,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Intas Pharmaceuticals Ltd
Pramipex 1 Tablet, Parkinson's disease Restless leg syndrome,Sun Pharmaceutical Industries Ltd
Presmovac 2 Tablet,Treatment of Constipation,Torrent Pharmaceuticals Ltd
Podocip CV Tablet,Treatment of Respiratory tract infection,Cipla Ltd
Pilogo Plus Cream,Treatment of Piles,Leeford Healthcare Ltd
Pinom 40 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Lupin Ltd
Pioplus 1 Tablet SR,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Paxidep CR 37.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Sun Pharmaceutical Industries Ltd
Pramirol 0.5 Tablet, Parkinson's disease Restless leg syndrome,Intas Pharmaceuticals Ltd
Pregabid Forte 75 Capsule, Neuropathic pain,Intas Pharmaceuticals Ltd
Prolox 5% Topical Solution,Treatment of Hair loss,Percos India Pvt  Ltd
Propynate NF Cream, Skin conditions with inflammation & itchingTreatment of Asthma,Hegde and Hegde Pharmaceutical LLP
Pregalin 150 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Torrent Pharmaceuticals Ltd
Paracip Suspension 60ml for Fever &amp; Pain Management, Pain reliefTreatment of Fever,Cipla Ltd
Plermin Gel, Diabetic foot ulcers,Dr Reddy's Laboratories Ltd
Peg-SR M 75 Tablet,Treatment of Neuropathic pain,Ipca Laboratories Ltd
Pramipex ER 0.75 Tablet, Parkinson's disease Restless leg syndrome,Sun Pharmaceutical Industries Ltd
Pangraf 2 Capsule, Prevention of organ rejection in transplant patients,Panacea Biotec Ltd
Pregabanyl Capsule,Treatment of Neuropathic pain,Leeford Healthcare Ltd
Pivasta 4 Tablet, High cholesterol Prevention of heart attack and stroke,Zydus Cadila
Phlebotroy QPS Topical Solution,Prevention of Blood clots,Troikaa Pharmaceuticals Ltd
Panum-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,J B Chemicals and Pharmaceuticals Ltd
Pansalve-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Emcure Pharmaceuticals Ltd
Parkin-Plus Tablet, Schizophrenia,Micro Labs Ltd
Panthol-D Eye Gel, Eye injury,Optho Life Sciences Pvt Ltd
Prodep 60 Capsule,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder,Sun Pharmaceutical Industries Ltd
Polycain Oral Gel Jamaican Strawberry, Acidity Heartburn Stomach ulcers,Somatico Pharmacal Pvt Ltd
Pancef-O 200mg Tablet,Treatment of Bacterial infections,Aglowmed Limited
Preva Tablet, Prevention of heart attack and stroke Heart attack Peripheral vascular disease,Intas Pharmaceuticals Ltd
Panto-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Siesta Pharmaceuticals
Pyrigesic Oral Suspension, Pain reliefTreatment of Fever,East India Pharmaceutical Works Ltd
Pro 9 500mg Injection,Prevention of Premature Labor,Abbott
Pirox 20 Capsule, Pain relief,Cipla Ltd
Pentasa 1gm Suppository,Treatment of Ulcerative colitis,Ferring Pharmaceuticals
Penidure LA 6 Injection,Treatment of Bacterial infectionsTreatment of SyphilisPrevention of Rheumatic fever,Pfizer Ltd
Peg -SR 75 Tablet,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Ipca Laboratories Ltd
Protera-L Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux),Lupin Ltd
Prexaron Plus Tablet, Stroke,Intas Pharmaceuticals Ltd
Panzynorm-N Tablet,Treatment of Pancreatic enzyme deficiency,Zydus Cadila
Planokuf XP  Syrup, Cough,Shreya Life Sciences Pvt Ltd
Pantium 40 Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Intas Pharmaceuticals Ltd
Penvir 250 Tablet, Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection,Hetero Drugs Ltd
Pentaglobin Injection, Immunoglobulins deficiency,Paviour Pharmaceuticals Pvt Ltd
Pantadom-SR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Mankind Pharma Ltd
Pinodin Tablet, Varicose veins,Nexgen Rx Life Science Pvt Ltd
Propygenta NF Cream,Treatment of Bacterial skin infections,Hegde and Hegde Pharmaceutical LLP
Primiwal-E4 Tablet SR, Hormone replacement therapy,TTK Healthcare Ltd
Pixit Oral Solution Sugar Free,Treatment of Constipation,Endocard India Pvt Ltd
Powergesic 100mg Transdermal Patch, Pain relief,Jenburkt Pharmaceuticals Ltd
Panum L Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux),J B Chemicals and Pharmaceuticals Ltd
Profulvin 500 Tablet, Fungal infections,Prism Life Sciences Ltd
PH-Perfect Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,Mitis Biomedics Ltd
Polyclav BD 228.5mg Dry Syrup,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Prograf 0.5mg Capsule, Prevention of organ rejection in transplant patients,Astellas Pharma Inc
Penclav 625 Tablet,Treatment of Bacterial infections,Zydus Healthcare Limited
Padup Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Deys Medical
Phexin BD 375mg Tablet,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Pregcert 200 SR Tablet, Hormone replacement therapyTreatment of Female infertility,Koye Pharmaceuticals Pvt ltd
Pregalex-NT Tablet,Treatment of Neuropathic pain,Solvate Laboratries Pvt Ltd
Pregabel 75 Capsule,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Knoll Pharmaceuticals Ltd
PPG Met 0.3 Tablet SR,Treatment of Type 2 diabetes mellitus,Abbott
Pubergen HP 5000 Injection,Treatment of Female infertilityTreatment of Male hypogonadism,Sanzyme Ltd
Papaverine 60mg Injection, Erectile dysfunction Peripheral vascular disease,Mercury Laboratories Ltd
Pramirol SR 0.26 Tablet, Parkinson's disease Restless leg syndrome,Intas Pharmaceuticals Ltd
Pentaloc D 10mg/20mg Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Cadila Pharmaceuticals Ltd
Patadin Tablet,Treatment of Allergic conditions,Ajanta Pharma Ltd
Prasudoc 10 Tablet,Prevention of Heart attackPrevention of Stroke,Lupin Ltd
Pruf-P Tablet, Pain relief,Intas Pharmaceuticals Ltd
Piosys 30 Tablet,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Pentate-D Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Morepen Laboratories Ltd
Panzynorm-HS Tablet,Treatment of Pancreatic enzyme deficiency,Zydus Cadila
Primiwal-S Tablet,Treatment of Erectile dysfunction,TTK Healthcare Ltd
Panthor DX Syrup, Dry cough,Juggat Pharma
Powercort-S 3% Ointment, Eczema Psoriasis,Glenmark Pharmaceuticals Ltd
Profine SR 300 Tablet, Hormone replacement therapyTreatment of Female infertility,Aristo Pharmaceuticals Pvt Ltd
Pregamet 75 Capsule,Treatment of Neuropathic pain,Abbott
Persol Plus Gel, Acne,Wallace Pharmaceuticals Pvt Ltd
Pregathree Tablet,Treatment of Neuropathic pain,Icon Life Sciences
Parkinta 2mg Tablet,Treatment of Parkinson's diseaseTreatment of Drug induced abnormal movements,Arinna Lifescience Pvt Ltd
PPG 0.2 Tablet,Treatment of Type 2 diabetes mellitus,Abbott
Piza-D Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Unimarck Healthcare Ltd
Pexep CR 37.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Intas Pharmaceuticals Ltd
Pioz MF G2 Tablet SR,Treatment of Type 2 diabetes mellitus,USV Ltd
Primiwal E2 Tablet, Hormone replacement therapy,TTK Healthcare Ltd
Pioglit MF 15 Tablet ER,Treatment of Type 2 diabetes mellitus,Sun Pharmaceutical Industries Ltd
Potcl 1.5gm Injection, Potassium deficiency,Neon Laboratories Ltd
Panderm + Dusting Powder,Treatment of Fungal skin infections,Macleods Pharmaceuticals Pvt Ltd
Pregeb OD 75 Tablet,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Torrent Pharmaceuticals Ltd
Paroxee CR 25 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Talent India 
Pamoria Cream, Fungal nail infections,Cipla Ltd
Pantodac L Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux),Zydus Cadila
Pramirol 0.125 Tablet, Parkinson's disease Restless leg syndrome,Intas Pharmaceuticals Ltd
Paradise XR 12.5 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Torrent Pharmaceuticals Ltd
Pregcert 300 SR Tablet, Hormone replacement therapyTreatment of Female infertility,Koye Pharmaceuticals Pvt ltd
Pregeb M 150 Capsule,Treatment of Neuropathic pain,Torrent Pharmaceuticals Ltd
Phytoral B Cream,Treatment of Fungal skin infections,Micro Labs Ltd
Psorid 100mg Oral Solution, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Biocon
Pio-M 15 Tablet SR,Treatment of Type 2 diabetes mellitus,Systopic Laboratories Pvt Ltd
Paknet-C Gel,Treatment of Acne,Percos India Pvt  Ltd
Pantafol-SL Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux),Leeford Healthcare Ltd
Pyricool 500mg Tablet, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Prolox Extra Strength 10% Topical Solution,Treatment of Hair loss,Percos India Pvt  Ltd
Pregalin X 75 Capsule,Treatment of Neuropathic pain,Torrent Pharmaceuticals Ltd
Plagerine-A Capsule, Prevention of heart attack and stroke,Micro Labs Ltd
P2I Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Lupin Ltd
Preganza NT Tablet,Treatment of Neuropathic pain,Emcure Pharmaceuticals Ltd
Prelid 8mg Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Glowderma Labs Pvt Ltd
Prulitop 2 Tablet,Treatment of Constipation,Alniche Life Sciences Pvt Ltd
Prutrip 25mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Kivi Labs Ltd
Panplus 40 Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Alembic Pharmaceuticals Ltd
Pramipex ER 1.5 Tablet, Parkinson's disease Restless leg syndrome,Sun Pharmaceutical Industries Ltd
Pexep 10 Tablet,Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Intas Pharmaceuticals Ltd
Primodil-AT  Tablet,Treatment of Hypertension (high blood pressure),Medley Pharmaceuticals
Prominad Tablet,Treatment of Type 2 diabetes mellitus,Cipla Ltd
Priorix Vaccine, Prevention of Measles Prevention of Rubella Prevention of Mumps,Glaxo SmithKline Pharmaceuticals Ltd
Provate-D Cream, Skin conditions with inflammation & itching,Percos India Pvt  Ltd
Phexin 125mg Redisyp Pineapple,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Pyrigesic Drop, Pain reliefTreatment of Fever,East India Pharmaceutical Works Ltd
Potrate-M Oral Solution, Kidney stone,Intas Pharmaceuticals Ltd
Pregalin M 150 Capsule,Treatment of Neuropathic pain,Torrent Pharmaceuticals Ltd
Predace 4 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Micro Labs Ltd
Panimun Bioral 100mg Capsule, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Mankind Pharma Ltd
Pulmoday 20mg Tablet,Treatment of Pulmonary arterial hypertension (PAH),Aprica Pharmaceuticals Pvt Ltd
Prelin M 75 Capsule,Treatment of Neuropathic pain,Intas Pharmaceuticals Ltd
Picon Cream, Atopic dermatitis,Biocon
Povidot 10% Ointment,Treatment and prevention of Wound infection,Leeford Healthcare Ltd
Pantodac IV Injection,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Zydus Cadila
Plagerine Tablet, Prevention of heart attack and stroke Heart attack Peripheral vascular disease,Micro Labs Ltd
Propynate NF Lotion, Skin conditions with inflammation & itchingTreatment of Asthma,Hegde and Hegde Pharmaceutical LLP
Pinom 10 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Lupin Ltd
Pegex 6mg Injection,Prevention of Infections after chemotherapy,Emcure Pharmaceuticals Ltd
Pirfenex 600mg Tablet,Treatment of Idiopathic pulmonary fibrosis,Cipla Ltd
Pregeb M OD 150 Tablet,Treatment of Neuropathic pain,Torrent Pharmaceuticals Ltd
Primodil 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Medley Pharmaceuticals
Pregastar M - OD 75 Tablet SR,Treatment of Neuropathic pain,Lupin Ltd
Puregraf 150IU HP Injection, Female infertility Male hypogonadism Male infertility,Gufic Bioscience Ltd
Pileum Suppository,Treatment of Anal fissure,MMC Healthcare Ltd
Pinkeva 35 Kit,Treatment of Polycystic ovarian syndrome (PCOS),VIVO Life Science
Pancrehenz 25000 Capsule,Treatment of Pancreatic enzyme deficiency,La Renon Healthcare Pvt Ltd
Prestiq 50 Tablet ER, Depression,Pfizer Ltd
Pancrehenz 10000 Capsule,Treatment of Pancreatic enzyme deficiency,La Renon Healthcare Pvt Ltd
Protera-I Capsule SR, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Lupin Ltd
P 750 Tablet, Pain reliefTreatment of Fever,Apex Laboratories Pvt Ltd
Pramirol SR 0.52 Tablet, Parkinson's disease Restless leg syndrome,Intas Pharmaceuticals Ltd
Penridol 20mg Tablet,Treatment of SchizophreniaTreatment of DepressionTreatment of Bipolar disorder,Linux Laboratories
Pancicare-D Capsule PR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Hegde and Hegde Pharmaceutical LLP
Prelica Gel, Neuropathic pain,Delvin Formulations Pvt Ltd
Polypod CV 200 Tablet,Treatment of Respiratory tract infection,Macleods Pharmaceuticals Pvt Ltd
Pacroma Cream, Atopic dermatitis,Ajanta Pharma Ltd
Pradaxa 75mg Capsule,Treatment and prevention of Blood clots,Boehringer Ingelheim
